x,result
0,100000,-23,459447
0,200000,-11,755625
0,300000,-6,763301
0,400000,-4,049433
0,500000,-2,419305
0,600000,-1,395833
0,700000,-0,745553
0,800000,-0,342538
0,900000,-0,109940
1,100000,0,019980
1,200000,-0,027840
1,300000,-0,127461
1,400000,-0,267179
1,500000,-0,438186
1,600000,-0,634591
1,700000,-0,850306
1,800000,-1,081652
1,900000,-1,325423
2,000000,-1,579044
2,100000,-1,841548
2,200000,-2,109611
2,300000,-2,382533
2,400000,-2,659176
2,500000,-2,938595
2,600000,-3,219995
2,700000,-3,504264
2,800000,-3,788302
2,900000,-4,072751
3,000000,-4,357221
3,100000,-4,641379
3,200000,-4,924942
3,300000,-5,207668
3,400000,-5,491565
3,500000,-5,772590
3,600000,-6,052337
3,700000,-6,330684
3,800000,-6,607528
3,900000,-6,882779
4,000000,-7,158559
4,100000,-7,430863
4,200000,-7,701445
4,300000,-7,970265
4,400000,-8,237289
4,500000,-8,502489
4,600000,-8,765845
4,700000,-9,029845
4,800000,-9,289881
4,900000,-9,548080
5,000000,-9,804439
